(1 7 9 11 13 17 19 21 23 25).	 (61 60)
(3 7 9 11 13 17 19 21 23 25).	 (45 44)
(1 3 5 7 15 17 19 21 23 25).	 (29 28 13 12)
(1 3 5 9 15 17 19 21 23 25).	 (29 28)
(1 3 7 9 15 17 19 21 23 25).	 (29 28)
(1 5 7 9 15 17 19 21 23 25).	 (29 28)
(3 5 7 9 15 17 19 21 23 25).	 (29 28)
(1 3 5 11 15 17 19 21 23 25).	 (13 12)
(1 3 7 11 15 17 19 21 23 25).	 (13 12)
(1 5 7 11 15 17 19 21 23 25).	 (13 12)
(3 5 7 11 15 17 19 21 23 25).	 (13 12)
(1 5 9 11 15 17 19 21 23 25).	 (53 52)
(3 5 9 11 15 17 19 21 23 25).	 (37 36)
(1 7 9 11 15 17 19 21 23 25).	 (61 60)
(3 7 9 11 15 17 19 21 23 25).	 (45 44)
(1 5 9 13 15 17 19 21 23 25).	 (53 52)
(3 5 9 13 15 17 19 21 23 25).	 (37 36)
(1 7 9 13 15 17 19 21 23 25).	 (61 60)
(3 7 9 13 15 17 19 21 23 25).	 (45 44)
(1 5 11 13 15 17 19 21 23 25).	 (53 52)
(3 5 11 13 15 17 19 21 23 25).	 (37 36)
(1 7 11 13 15 17 19 21 23 25).	 (61 60)
(3 7 11 13 15 17 19 21 23 25).	 (45 44)
(1 9 11 13 15 17 19 21 23 25).	 (61 60 53 52)
(3 9 11 13 15 17 19 21 23 25).	 (45 44 37 36)
(5 9 11 13 15 17 19 21 23 25).	 (53 52 37 36)
(7 9 11 13 15 17 19 21 23 25).	 (61 60 45 44)
(1 3 5 7 9 13 17 19 21 27).	 (23 22)
(1 3 5 7 11 13 17 19 21 27).	 (7 6)
(1 3 5 7 9 15 17 19 21 27).	 (31 30)
(1 3 5 7 11 15 17 19 21 27).	 (15 14)
(1 5 9 11 13 15 17 19 21 27).	 (55 54)
(3 5 9 11 13 15 17 19 21 27).	 (39 38)
(1 7 9 11 13 15 17 19 21 27).	 (63 62)
(3 7 9 11 13 15 17 19 21 27).	 (47 46)
(1 3 5 7 9 13 17 19 23 27).	 (23 22)
(1 3 5 7 11 13 17 19 23 27).	 (7 6)
(1 3 5 7 9 15 17 19 23 27).	 (31 30)
(1 3 5 7 11 15 17 19 23 27).	 (15 14)
(1 5 9 11 13 15 17 19 23 27).	 (55 54)
(3 5 9 11 13 15 17 19 23 27).	 (39 38)
(1 7 9 11 13 15 17 19 23 27).	 (63 62)
(3 7 9 11 13 15 17 19 23 27).	 (47 46)
(1 3 5 7 9 13 17 21 23 27).	 (23 22)
(1 3 5 7 11 13 17 21 23 27).	 (7 6)
(1 3 5 7 9 15 17 21 23 27).	 (31 30)
(1 3 5 7 11 15 17 21 23 27).	 (15 14)
(1 5 9 11 13 15 17 21 23 27).	 (55 54)
(3 5 9 11 13 15 17 21 23 27).	 (39 38)
(1 7 9 11 13 15 17 21 23 27).	 (63 62)
(3 7 9 11 13 15 17 21 23 27).	 (47 46)
(1 3 5 7 9 13 19 21 23 27).	 (23 22)
(1 3 5 7 11 13 19 21 23 27).	 (7 6)
(1 3 5 7 9 15 19 21 23 27).	 (31 30)
(1 3 5 7 11 15 19 21 23 27).	 (15 14)
(1 5 9 11 13 15 19 21 23 27).	 (55 54)
(3 5 9 11 13 15 19 21 23 27).	 (39 38)
(1 7 9 11 13 15 19 21 23 27).	 (63 62)
(3 7 9 11 13 15 19 21 23 27).	 (47 46)
(1 3 5 7 9 17 19 21 23 27).	 (31 30 23 22)
(1 3 5 7 11 17 19 21 23 27).	 (15 14 7 6)
(1 3 5 7 13 17 19 21 23 27).	 (23 22 7 6)
(1 3 5 9 13 17 19 21 23 27).	 (23 22)
(1 3 7 9 13 17 19 21 23 27).	 (23 22)
(1 5 7 9 13 17 19 21 23 27).	 (23 22)
(3 5 7 9 13 17 19 21 23 27).	 (23 22)
(1 3 5 11 13 17 19 21 23 27).	 (7 6)
(1 3 7 11 13 17 19 21 23 27).	 (7 6)
(1 5 7 11 13 17 19 21 23 27).	 (7 6)
(3 5 7 11 13 17 19 21 23 27).	 (7 6)
(1 5 9 11 13 17 19 21 23 27).	 (55 54)
(3 5 9 11 13 17 19 21 23 27).	 (39 38)
(1 7 9 11 13 17 19 21 23 27).	 (63 62)
(3 7 9 11 13 17 19 21 23 27).	 (47 46)
(1 3 5 7 15 17 19 21 23 27).	 (31 30 15 14)
(1 3 5 9 15 17 19 21 23 27).	 (31 30)
(1 3 7 9 15 17 19 21 23 27).	 (31 30)
(1 5 7 9 15 17 19 21 23 27).	 (31 30)
(3 5 7 9 15 17 19 21 23 27).	 (31 30)
(1 3 5 11 15 17 19 21 23 27).	 (15 14)
(1 3 7 11 15 17 19 21 23 27).	 (15 14)
(1 5 7 11 15 17 19 21 23 27).	 (15 14)
(3 5 7 11 15 17 19 21 23 27).	 (15 14)
(1 5 9 11 15 17 19 21 23 27).	 (55 54)
(3 5 9 11 15 17 19 21 23 27).	 (39 38)
(1 7 9 11 15 17 19 21 23 27).	 (63 62)
(3 7 9 11 15 17 19 21 23 27).	 (47 46)
(1 5 9 13 15 17 19 21 23 27).	 (55 54)
(3 5 9 13 15 17 19 21 23 27).	 (39 38)
(1 7 9 13 15 17 19 21 23 27).	 (63 62)
(3 7 9 13 15 17 19 21 23 27).	 (47 46)
