
Gurvich-Khachiyan 3 :
		k4	hw3	c4	pan3b	pan3	k4-	path4	k3d	d41	star3	k2dd	        |F|     |G|     leaf nodes  
"TH40-fmax"     	0       0       0       0       0       0       0       0       0       0       0               400     21      24
"TH40-fthresh"  	0       0       0       4       30      1       0       1       13      0       11              400     21      476
"TH40-fnone"    	3       0       0       7       98      2       0       9       46      3       27              400     21      888
"TH60-fmax"     	0       0       0       0       3       0       0       0       3       0       0               900     31      35
"TH60-fthresh"  	0       0       0       11      121     2       0       10      58      0       39              900     31      2155
"TH60-fnone"    	8       0       0       45      584     11      0       41      278     10      180             900     31      6811
"TH80-fmax"     	0       0       0       0       0       0       0       0       0       0       0               1600    41      44
"TH80-fthresh"  	3       0       0       32      630     2       0       29      352     5       201             1600    41      12743
"TH80-fnone"    	5       0       0       50      614     6       0       25      308     10      201             1600    41      12667
"SDTH42-fmax"   	0       0       0       0       7       0       0       0       6       1       0               422     422     53
"SDTH42-fthresh"        0       0       0       9       129     3       0       6       36      63      10              422     422     1432
"SDTH42-fnone"  	1       0       0       19      176     1       0       5       84      3       59              422     422     1609
"SDTH62-fmax"   	0       0       0       0       6       0       0       0       6       0       0               932     932     82
"SDTH62-fthresh"        0       0       0       17      265     3       0       16      133     5       89              932     932     4649
"SDTH62-fnone"  	12      0       0       157     2411    17      0       97      802     945     363             932     932     30351
"SDTH82-fmax"   	0       0       0       0       1       0       0       0       1       0       0               1642    1642    94
"SDTH82-fthresh"        8       0       0       90      1159    6       0       50      587     25      382             1642    1642    23165
"SDTH82-fnone"  	32      0       0       168     3258    24      0       143     1176    1149    535             1642    1642    62596
"SDFP9-fmax"        	0       0       4       8       8       0       0       0       0       0       0               15      15      42
"SDFP9-fthresh"     	0       0       2       4       11      2       0       0       1       2       2               15      15      48
"SDFP9-fnone"       	0       0       1       5       12      2       0       0       1       2       2               15      15      47
"SDFP16-fmax"       	0       0       114     90      115     0       0       0       0       23      2               64      64      870
"SDFP16-fthresh"    	0       13      20      112     354     0       0       0       52      69      108             64      64      1515
"SDFP16-fnone"      	0       1       24      109     395     0       0       0       63      59      163             64      64      1577
"SDFP23-fmax"       	0       0       2319    952     1819    0       0       0       0       837     30              365     365     17304
"SDFP23-fthresh"    	0       0       484     2678    10092   0       0       0       1892    1932    3590            365     365     43745
"SDFP23-fnone"      	0       0       483     2552    10414   0       0       0       1871    2502    3489            365     365     44279







